Trait	Heritability	pop	N
ASV_282	0.0000000277785977481118	Inbred	HN
ASV_893	0	Inbred	HN
ASV_356	0.00418678549202401	Inbred	HN
ASV_533	0.019831181937572	Inbred	HN
ASV_438	0.040100240309454	Inbred	HN
ASV_176	0	Inbred	HN
ASV_316	0	Inbred	HN
ASV_810	0.00000000357601416841061	Inbred	HN
ASV_578	0.0633905719401043	Inbred	HN
ASV_888	0	Inbred	HN
ASV_276	0.153460785479071	Inbred	HN
ASV_454	0	Inbred	HN
ASV_165	0	Inbred	HN
ASV_342	0	Inbred	HN
ASV_30	0.198085564910776	Inbred	HN
ASV_78	0.00000000306351633631291	Inbred	HN
ASV_579	0	Inbred	HN
ASV_796	0.0142990681852412	Inbred	HN
ASV_823	0	Inbred	HN
ASV_483	0.170358265391726	Inbred	HN
ASV_703	0.000000000327880789096844	Inbred	HN
ASV_597	0.0952977826998484	Inbred	HN
ASV_646	0.0688055536009484	Inbred	HN
ASV_824	0.016706523999104	Inbred	HN
ASV_420	0	Inbred	HN
ASV_216	0	Inbred	HN
ASV_715	0.0086073459773322	Inbred	HN
ASV_1096	0	Inbred	HN
ASV_324	0.2093136344785	Inbred	HN
ASV_601	0.0357247821693233	Inbred	HN
ASV_1168	0.00000000703031482276435	Inbred	HN
ASV_540	0.000000000266337457026339	Inbred	HN
ASV_137	0.0346374879133693	Inbred	HN
ASV_283	0.0711840718413728	Inbred	HN
ASV_1090	0.164228743065196	Inbred	HN
ASV_310	0.00000000173446326693254	Inbred	HN
ASV_421	0	Inbred	HN
ASV_278	0	Inbred	HN
ASV_184	0.015395397187262	Inbred	HN
ASV_163	0.137174243504123	Inbred	HN
ASV_131	0	Inbred	HN
ASV_1058	0.010366037913525	Inbred	HN
ASV_331	0	Inbred	HN
ASV_61	0.0570539040877919	Inbred	HN
ASV_19	0.17474435101228	Inbred	HN
ASV_191	0.0450971672050565	Inbred	HN
ASV_763	0	Inbred	HN
ASV_326	0.0572544591178976	Inbred	HN
ASV_381	0.00570987994249409	Inbred	HN
ASV_203	0.101778882407981	Inbred	HN
ASV_657	0.0378195003418055	Inbred	HN
ASV_614	0.0594778052437945	Inbred	HN
ASV_656	0	Inbred	HN
ASV_930	0.0000000613398106162088	Inbred	HN
ASV_205	0	Inbred	HN
ASV_138	0.118620084744942	Inbred	HN
ASV_44	0.189319881490736	Inbred	HN
ASV_448	0.00000000771226489912421	Inbred	HN
ASV_955	0.0798642917634129	Inbred	HN
ASV_902	0.143160794140946	Inbred	HN
ASV_990	0.0360294876619696	Inbred	HN
ASV_1035	0.180173623253602	Inbred	HN
ASV_415	0.0727629905032418	Inbred	HN
ASV_199	0.187605997760431	Inbred	HN
ASV_919	0.00000000129369869283076	Inbred	HN
ASV_116	0	Inbred	HN
ASV_556	0.0480626290649338	Inbred	HN
ASV_267	0	Inbred	HN
ASV_474	0.0730849511943324	Inbred	HN
ASV_338	0.0349210132677111	Inbred	HN
ASV_729	0.011678826522005	Inbred	HN
ASV_318	0	Inbred	HN
ASV_359	0.0316546064308132	Inbred	HN
ASV_293	0.0258307839704101	Inbred	HN
ASV_186	0.194212580701677	Inbred	HN
ASV_804	0.0217850517514252	Inbred	HN
ASV_672	0.0744084162030034	Inbred	HN
ASV_240	0	Inbred	HN
ASV_105	0.00000000339997532228451	Inbred	HN
ASV_720	0.0501221887910563	Inbred	HN
ASV_660	0.184997857979003	Inbred	HN
ASV_423	0.0245416411245875	Inbred	HN
ASV_1079	0.0923571368562863	Inbred	HN
ASV_587	0	Inbred	HN
ASV_355	0.00155752203111185	Inbred	HN
ASV_128	0.000000000418222094913675	Inbred	HN
ASV_115	0.00000000832235749349556	Inbred	HN
ASV_17	0.126758081363302	Inbred	HN
ASV_12	0.0690634058059519	Inbred	HN
ASV_956	0	Inbred	HN
ASV_778	0	Inbred	HN
ASV_754	0	Inbred	HN
ASV_249	0.00043132744647488	Inbred	HN
ASV_900	0	Inbred	HN
ASV_584	0	Inbred	HN
ASV_94	0.0305954665831887	Inbred	HN
ASV_185	0.0229182951000435	Inbred	HN
ASV_1057	0.267405577656575	Inbred	HN
ASV_788	0.0675286888309343	Inbred	HN
ASV_724	0	Inbred	HN
ASV_616	0	Inbred	HN
ASV_351	0.0897841632790533	Inbred	HN
ASV_48	0	Inbred	HN
ASV_1047	0.0954045641124759	Inbred	HN
ASV_695	0.258301108671167	Inbred	HN
ASV_255	0.0405924568607931	Inbred	HN
ASV_682	0.00144466238286848	Inbred	HN
ASV_901	0.160662735009456	Inbred	HN
ASV_196	0	Inbred	HN
ASV_410	0.00000000100296372313617	Inbred	HN
ASV_183	0.000000000232052751414499	Inbred	HN
ASV_452	0	Inbred	HN
ASV_357	0	Inbred	HN
ASV_178	0.16302383639069	Inbred	HN
ASV_373	0.249580926301094	Inbred	HN
ASV_849	0.000000000375635467547648	Inbred	HN
ASV_753	0	Inbred	HN
ASV_211	0	Inbred	HN
ASV_627	0.0124489069246722	Inbred	HN
ASV_984	0	Inbred	HN
ASV_461	0.037813478573616	Inbred	HN
ASV_785	0	Inbred	HN
ASV_633	0	Inbred	HN
ASV_372	0	Inbred	HN
ASV_399	0.0861862276237541	Inbred	HN
ASV_221	0.0838014707751043	Inbred	HN
ASV_238	0.13657914034906	Inbred	HN
ASV_181	0.044100437127317	Inbred	HN
ASV_980	0.00000000211640869239818	Inbred	HN
ASV_136	0	Inbred	HN
ASV_603	0.000000000398260835668161	Inbred	HN
ASV_67	0.201797427096607	Inbred	HN
ASV_862	0.0848604003151777	Inbred	HN
ASV_1202	0.121436252390021	Inbred	HN
ASV_1139	0.110040994910256	Inbred	HN
ASV_164	0.0644481087209655	Inbred	HN
ASV_323	0.0935256308246737	Inbred	HN
ASV_462	0	Inbred	HN
ASV_570	1.98714139995285e-15	Inbred	HN
ASV_457	0.0529271284689391	Inbred	HN
ASV_575	0.0200846713401428	Inbred	HN
ASV_480	0.0271530507737463	Inbred	HN
ASV_329	0.0100140524455206	Inbred	HN
ASV_469	0.190966058771791	Inbred	HN
ASV_172	0	Inbred	HN
ASV_429	0.100409649744775	Inbred	HN
ASV_847	0.144108521196121	Inbred	HN
