Trait	Heritability	pop	N
ASV_1154	0.0281497474504586	Inbred	HN
ASV_791	0	Inbred	HN
ASV_994	0	Inbred	HN
ASV_1111	0	Inbred	HN
ASV_2812	0	Inbred	HN
ASV_88	0.0671209301465586	Inbred	HN
ASV_33	0	Inbred	HN
ASV_2521	0.103391069214335	Inbred	HN
ASV_1628	0	Inbred	HN
ASV_537	0	Inbred	HN
ASV_2464	0	Inbred	HN
ASV_2250	0	Inbred	HN
ASV_1731	0.0290517967600523	Inbred	HN
ASV_282	0	Inbred	HN
ASV_651	0.029443872534461	Inbred	HN
ASV_1579	0.000000000584871917053114	Inbred	HN
ASV_893	0	Inbred	HN
ASV_356	0.00634984737257627	Inbred	HN
ASV_1504	0.00000000042381988900257	Inbred	HN
ASV_1308	0	Inbred	HN
ASV_533	0.0109278579233868	Inbred	HN
ASV_1609	0.0467346492855404	Inbred	HN
ASV_438	0.036569611753876	Inbred	HN
ASV_176	0	Inbred	HN
ASV_1882	0.00000360282319508112	Inbred	HN
ASV_316	0	Inbred	HN
ASV_1572	0	Inbred	HN
ASV_810	0	Inbred	HN
ASV_1267	0.000000219375698794557	Inbred	HN
ASV_578	0.0707729283096171	Inbred	HN
ASV_801	0.0700556270957835	Inbred	HN
ASV_2133	0	Inbred	HN
ASV_1892	0	Inbred	HN
ASV_1561	0	Inbred	HN
ASV_888	0	Inbred	HN
ASV_276	0.154873953127875	Inbred	HN
ASV_1808	0	Inbred	HN
ASV_454	0	Inbred	HN
ASV_1218	0	Inbred	HN
ASV_1285	0.0408457710141018	Inbred	HN
ASV_1264	0.00000000000269425550338694	Inbred	HN
ASV_165	0	Inbred	HN
ASV_1301	0	Inbred	HN
ASV_342	0	Inbred	HN
ASV_1859	0.0396407710334597	Inbred	HN
ASV_30	0.193265985226096	Inbred	HN
ASV_1258	0	Inbred	HN
ASV_1404	0	Inbred	HN
ASV_78	0.000000006380988529852	Inbred	HN
ASV_579	0	Inbred	HN
ASV_1524	0	Inbred	HN
ASV_796	0.0130717364834531	Inbred	HN
ASV_1350	0.0189585354870868	Inbred	HN
ASV_2242	0	Inbred	HN
ASV_1811	0	Inbred	HN
ASV_823	0	Inbred	HN
ASV_483	0.1759060962986	Inbred	HN
ASV_1512	0	Inbred	HN
ASV_1633	0	Inbred	HN
ASV_2016	0.0137839051069027	Inbred	HN
