id	pop
BGEM-0239-N	NSS
BGEM-0122-N	NSS
BGEM-0246-N	NSS
BGEM-0174-N	NSS
BGEM-0228-N	NSS
BGEM-0002-N	NSS
BGEM-0293-N	NSS
BGEM-0185-N	NSS
BGEM-0202-N	NSS
BGEM-0144-N	NSS
BGEM-0299-N	NSS
BGEM-0211-N	NSS
BGEM-0289-N	NSS
BGEM-0184-N	NSS
BGEM-0143-N	NSS
BGEM-0190-N	NSS
BGEM-0264-S	NSS
BGEM-0205-N	NSS
BGEM-0209-N	NSS
BGEM-0194-N	NSS
BGEM-0175-S	NSS
BGEM-0311-N	NSS
BGEM-0312-S	NSS
BGEM-0204-N	NSS
BGEM-0303-N	NSS
BGEM-0140-N	NSS
BGEM-0145-N	NSS
BGEM-0235-N	NSS
BGEM-0078-N	NSS
BGEM-0256-N	NSS
BGEM-0229-N	NSS
BGEM-0326-N	NSS
BGEM-0327-N	NSS
BGEM-0276-S	NSS
BGEM-0191-N	NSS
BGEM-0193-N	NSS
BGEM-0001-N	NSS
BGEM-0157-N	NSS
BGEM-0038-N	NSS
BGEM-0182-N	NSS
BGEM-0061-N	NSS
BGEM-0192-N	NSS
BGEM-0102-N	NSS
BGEM-0125-N	NSS
BGEM-0263-S	NSS
BGEM-0294-N	NSS
BGEM-0282-N	NSS
BGEM-0216-N	NSS
BGEM-0064-N	NSS
BGEM-0183-N	NSS
BGEM-0141-N	NSS
BGEM-0045-N	NSS
BGEM-0126-N	NSS
BGEM-0124-N	NSS
BGEM-0076-S	NSS
BGEM-0123-N	NSS
BGEM-0242-N	NSS
BGEM-0287-N	NSS
BGEM-0283-N	NSS
BGEM-0320-N	NSS
BGEM-0285-N	NSS
BGEM-0066-N	NSS
BGEM-0212-N	NSS
BGEM-0181-N	NSS
BGEM-0052-S	NSS
BGEM-0249-N	NSS
BGEM-0189-S	NSS
BGEM-0065-N	NSS
BGEM-0262-S	NSS
BGEM-0146-N	NSS
BGEM-0109-N	NSS
BGEM-0090-N	NSS
BGEM-0253-N	NSS
BGEM-0165-S	NSS
BGEM-0237-N	NSS
BGEM-0266-S	NSS
BGEM-0003-N	NSS
BGEM-0210-N	NSS
BGEM-0281-N	NSS
BGEM-0328-S	NSS
BGEM-0304-N	NSS
BGEM-0231-N	NSS
BGEM-0291-N	NSS
BGEM-0240-N	NSS
BGEM-0130-N	NSS
BGEM-0230-N	NSS
BGEM-0203-N	NSS
BGEM-0238-N	NSS
BGEM-0094-S	NSS
BGEM-0166-S	NSS
BGEM-0004-N	NSS
BGEM-0063-N	NSS
BGEM-0095-S	NSS
BGEM-0039-N	NSS
BGEM-0223-N	NSS
BGEM-0247-N	NSS
BGEM-0040-N	NSS
BGEM-0087-N	NSS
BGEM-0131-N	NSS
BGEM-0201-N	NSS
BGEM-0207-N	NSS
BGEM-0206-N	NSS
BGEM-0319-S	NSS
BGEM-0105-N	NSS
BGEM-0106-N	NSS
BGEM-0086-N	NSS
BGEM-0110-N	NSS
BGEM-0284-N	NSS
BGEM-0151-N	NSS
BGEM-0286-N	NSS
BGEM-0088-N	NSS
BGEM-0208-N	NSS
BGEM-0196-N	NSS
BGEM-0290-N	NSS
BGEM-0089-N	NSS
BGEM-0225-N	NSS
BGEM-0120-N	NSS
BGEM-0152-N	NSS
BGEM-0098-S	NSS
BGEM-0224-N	NSS
BGEM-0091-N	NSS
BGEM-0058-N	NSS
BGEM-0007-S	NSS
BGEM-0008-S	NSS
BGEM-0046-N	NSS
