id	pop
BGEM-0092-S	SS
BGEM-0053-S	SS
BGEM-0121-N	SS
BGEM-0085-N	SS
BGEM-0062-N	SS
BGEM-0171-S	SS
BGEM-0082-S	SS
BGEM-0217-S	SS
BGEM-0257-S	SS
BGEM-0180-S	SS
BGEM-0117-S	SS
BGEM-0118-S	SS
BGEM-0113-S	SS
BGEM-0219-S	SS
BGEM-0213-S	SS
BGEM-0077-S	SS
BGEM-0137-S	SS
BGEM-0079-S	SS
BGEM-0170-S	SS
BGEM-0111-S	SS
BGEM-0116-S	SS
BGEM-0112-S	SS
BGEM-0114-S	SS
BGEM-0115-S	SS
BGEM-0259-N	SS
BGEM-0258-S	SS
BGEM-0081-S	SS
BGEM-0080-S	SS
BGEM-0277-S	SS
BGEM-0316-S	SS
BGEM-0051-S	SS
BGEM-0288-S	SS
BGEM-0280-S	SS
BGEM-0324-N	SS
BGEM-0072-S	SS
BGEM-0278-S	SS
BGEM-0226-S	SS
BGEM-0310-S	SS
BGEM-0015-S	SS
BGEM-0099-S	SS
BGEM-0049-S	SS
BGEM-0056-S	SS
BGEM-0084-S	SS
BGEM-0227-N	SS
BGEM-0055-S	SS
BGEM-0067-S	SS
BGEM-0296-S	SS
BGEM-0301-S	SS
BGEM-0295-S	SS
BGEM-0005-N	SS
BGEM-0073-S	SS
BGEM-0200-S	SS
BGEM-0071-S	SS
BGEM-0297-N	SS
BGEM-0068-S	SS
BGEM-0186-S	SS
BGEM-0243-S	SS
BGEM-0318-S	SS
BGEM-0305-S	SS
BGEM-0030-S	SS
BGEM-0018-S	SS
BGEM-0325-N	SS
BGEM-0097-S	SS
BGEM-0248-N	SS
BGEM-0254-S	SS
BGEM-0252-S	SS
BGEM-0222-S	SS
BGEM-0220-S	SS
BGEM-0187-S	SS
BGEM-0160-S	SS
BGEM-0074-S	SS
BGEM-0255-S	SS
BGEM-0036-S	SS
BGEM-0163-S	SS
BGEM-0214-S	SS
BGEM-0070-S	SS
BGEM-0306-S	SS
BGEM-0149-S	SS
BGEM-0168-S	SS
BGEM-0147-S	SS
BGEM-0042-S	SS
BGEM-0028-S	SS
BGEM-0150-S	SS
BGEM-0272-S	SS
BGEM-0315-S	SS
BGEM-0020-S	SS
BGEM-0251-S	SS
BGEM-0025-S	SS
BGEM-0021-S	SS
BGEM-0019-S	SS
BGEM-0057-S	SS
BGEM-0236-S	SS
BGEM-0083-S	SS
BGEM-0101-S	SS
BGEM-0279-S	SS
BGEM-0024-S	SS
BGEM-0188-S	SS
BGEM-0023-S	SS
BGEM-0269-S	SS
BGEM-0154-S	SS
BGEM-0161-S	SS
BGEM-0026-S	SS
BGEM-0050-S	SS
BGEM-0060-S	SS
BGEM-0197-S	SS
BGEM-0270-S	SS
BGEM-0029-S	SS
BGEM-0033-S	SS
BGEM-0136-S	SS
BGEM-0199-S	SS
BGEM-0059-S	SS
BGEM-0244-S	SS
BGEM-0268-S	SS
BGEM-0012-S	SS
BGEM-0178-S	SS
BGEM-0179-S	SS
BGEM-0260-N	SS
BGEM-0302-S	SS
BGEM-0156-S	SS
BGEM-0041-S	SS
BGEM-0148-S	SS
BGEM-0011-S	SS
BGEM-0233-S	SS
BGEM-0308-S	SS
BGEM-0172-S	SS
BGEM-0108-S	SS
BGEM-0014-S	SS
BGEM-0129-N	SS
BGEM-0322-S	SS
BGEM-0069-S	SS
BGEM-0250-S	SS
BGEM-0300-S	SS
BGEM-0035-S	SS
BGEM-0164-S	SS
BGEM-0218-S	SS
BGEM-0313-S	SS
BGEM-0047-S	SS
BGEM-0167-S	SS
ID	Pop
BGEM-0031-S	SS
BGEM-0307-S	SS
BGEM-0298-S	SS
BGEM-0027-S	SS
BGEM-0044-S	SS
BGEM-0245-S	SS
BGEM-0321-S	SS
BGEM-0034-S	SS
BGEM-0013-S	SS
BGEM-0153-S	SS
BGEM-0010-S	SS
BGEM-0043-S	SS
BGEM-0162-S	SS
BGEM-0032-S	SS
BGEM-0006-S	SS
BGEM-0261-S	SS
BGEM-0133-S	SS
BGEM-0314-S	SS
BGEM-0048-S	SS
BGEM-0173-S	SS
BGEM-0107-N	SS
BGEM-0158-S	SS
BGEM-0198-S	SS
BGEM-0323-S	SS
BGEM-0037-S	SS
BGEM-0292-S	SS
BGEM-0309-S	SS
BGEM-0155-S	SS
BGEM-0134-S	SS
BGEM-0138-S	SS
