row	genotype	experiment	sublock	Block	Type
1001	BGEM-0312-S	HN	sb1	BK1	Inbred
1002	BGEM-0245-S	HN	sb1	BK1	Inbred
1003	BGEM-0292-S	HN	sb1	BK1	Inbred
1004	BGEM-0075-S	HN	sb1	BK1	Inbred
1005	BGEM-0204-N	HN	sb1	BK1	Inbred
1006	BGEM-0015-S	HN	sb1	BK1	Inbred
1007	BGEM-0166-S	HN	sb1	BK1	Inbred
1008	B73	HN	sb1	BK1	Inbred
1009	BGEM-0237-N	HN	sb1	BK1	Inbred
1010	BGEM-0152-N	HN	sb1	BK1	Inbred
1011	BGEM-0103-N	HN	sb1	BK1	Inbred
1012	BGEM-0308-S	HN	sb1	BK1	Inbred
1013	BGEM-0231-N	HN	sb1	BK1	Inbred
1014	BGEM-0210-N	HN	sb1	BK1	Inbred
1015	BGEM-0065-N	HN	sb1	BK1	Inbred
1016	MO17	HN	sb1	BK1	Inbred
1017	BGEM-0178-S	HN	sb1	BK1	Inbred
1018	BGEM-0106-N	HN	sb1	BK1	Inbred
1019	BGEM-0069-S	HN	sb1	BK1	Inbred
1020	BGEM-0043-S	HN	sb1	BK1	Inbred
1021	BGEM-0239-N	HN	sb1	BK1	Inbred
1022	BGEM-0325-N	HN	sb1	BK1	Inbred
1023	BGEM-0290-N	HN	sb1	BK1	Inbred
1024	B73	HN	sb1	BK1	Inbred
1025	BGEM-0165-S	HN	sb1	BK1	Inbred
1026	BGEM-0318-S	HN	sb3	BK1	Inbred
1027	BGEM-0321-S	HN	sb3	BK1	Inbred
1028	BGEM-0008-S	HN	sb3	BK1	Inbred
1029	BGEM-0113-S	HN	sb3	BK1	Inbred
1030	BGEM-0140-N	HN	sb3	BK1	Inbred
1031	BGEM-0221-S	HN	sb3	BK1	Inbred
1032	BGEM-0047-S	HN	sb3	BK1	Inbred
1033	MO17	HN	sb3	BK1	Inbred
1034	BGEM-0136-S	HN	sb3	BK1	Inbred
1035	BGEM-0244-S	HN	sb3	BK1	Inbred
1036	BGEM-0020-S	HN	sb3	BK1	Inbred
1037	BGEM-0118-S	HN	sb3	BK1	Inbred
1038	BGEM-0032-S	HN	sb3	BK1	Inbred
1039	BGEM-0039-N	HN	sb3	BK1	Inbred
1040	BGEM-0080-S	HN	sb3	BK1	Inbred
1041	B73	HN	sb3	BK1	Inbred
1042	BGEM-0179-S	HN	sb3	BK1	Inbred
1043	BGEM-0214-S	HN	sb3	BK1	Inbred
1044	BGEM-0109-N	HN	sb3	BK1	Inbred
1045	BGEM-0082-S	HN	sb3	BK1	Inbred
1046	BGEM-0114-S	HN	sb3	BK1	Inbred
1047	BGEM-0222-S	HN	sb3	BK1	Inbred
1048	BGEM-0079-S	HN	sb3	BK1	Inbred
1049	MO17	HN	sb3	BK1	Inbred
1050	BGEM-0099-S	HN	sb3	BK1	Inbred
1051	BGEM-0160-S	HN	sb1	BK1	Inbred
1052	BGEM-0172-S	HN	sb1	BK1	Inbred
1053	BGEM-0192-N	HN	sb1	BK1	Inbred
1054	BGEM-0211-N	HN	sb1	BK1	Inbred
1055	BGEM-0014-S	HN	sb1	BK1	Inbred
1056	BGEM-0235-N	HN	sb1	BK1	Inbred
1057	B73	HN	sb1	BK1	Inbred
1058	BGEM-0250-S	HN	sb1	BK1	Inbred
1059	BGEM-0183-N	HN	sb1	BK1	Inbred
1060	BGEM-0213-S	HN	sb1	BK1	Inbred
1061	BGEM-0056-S	HN	sb1	BK1	Inbred
1062	BGEM-0294-N	HN	sb1	BK1	Inbred
1063	BGEM-0196-N	HN	sb1	BK1	Inbred
1064	BGEM-0051-S	HN	sb1	BK1	Inbred
1065	MO17	HN	sb1	BK1	Inbred
1066	BGEM-0188-S	HN	sb1	BK1	Inbred
1067	BGEM-0011-S	HN	sb1	BK1	Inbred
1068	BGEM-0038-N	HN	sb1	BK1	Inbred
1069	BGEM-0307-S	HN	sb1	BK1	Inbred
1070	BGEM-0252-S	HN	sb1	BK1	Inbred
1071	BGEM-0134-S	HN	sb1	BK1	Inbred
1072	BGEM-0293-N	HN	sb1	BK1	Inbred
1073	B73	HN	sb1	BK1	Inbred
1074	BGEM-0328-S	HN	sb1	BK1	Inbred
1075	BGEM-0027-S	HN	sb1	BK1	Inbred
1076	BGEM-0314-S	HN	sb3	BK1	Inbred
1077	BGEM-0068-S	HN	sb3	BK1	Inbred
1078	BGEM-0010-S	HN	sb3	BK1	Inbred
1079	BGEM-0255-S	HN	sb3	BK1	Inbred
1080	BGEM-0266-S	HN	sb3	BK1	Inbred
1081	BGEM-0298-S	HN	sb3	BK1	Inbred
1082	MO17	HN	sb3	BK1	Inbred
1083	BGEM-0203-N	HN	sb3	BK1	Inbred
1084	BGEM-0184-N	HN	sb3	BK1	Inbred
1085	BGEM-0123-N	HN	sb3	BK1	Inbred
1086	BGEM-0037-S	HN	sb3	BK1	Inbred
1087	BGEM-0117-S	HN	sb3	BK1	Inbred
1088	BGEM-0077-S	HN	sb3	BK1	Inbred
1089	BGEM-0085-N	HN	sb3	BK1	Inbred
1090	B73	HN	sb3	BK1	Inbred
1091	BGEM-0326-N	HN	sb3	BK1	Inbred
1092	BGEM-0320-N	HN	sb3	BK1	Inbred
1093	BGEM-0024-S	HN	sb3	BK1	Inbred
1094	BGEM-0013-S	HN	sb3	BK1	Inbred
1095	BGEM-0194-N	HN	sb3	BK1	Inbred
1096	BGEM-0012-S	HN	sb3	BK1	Inbred
1097	BGEM-0023-S	HN	sb3	BK1	Inbred
1098	MO17	HN	sb3	BK1	Inbred
1099	BGEM-0112-S	HN	sb3	BK1	Inbred
1100	BGEM-0197-S	HN	sb3	BK1	Inbred
1101	BGEM-0193-N	HN	sb1	BK1	Inbred
1102	BGEM-0070-S	HN	sb1	BK1	Inbred
1103	BGEM-0158-S	HN	sb1	BK1	Inbred
1104	BGEM-0264-S	HN	sb1	BK1	Inbred
1105	BGEM-0309-S	HN	sb1	BK1	Inbred
1106	B73	HN	sb1	BK1	Inbred
1107	BGEM-0060-S	HN	sb1	BK1	Inbred
1108	BGEM-0155-S	HN	sb1	BK1	Inbred
1109	BGEM-0052-S	HN	sb1	BK1	Inbred
1110	BGEM-0131-N	HN	sb1	BK1	Inbred
1111	BGEM-0003-N	HN	sb1	BK1	Inbred
1112	BGEM-0324-N	HN	sb1	BK1	Inbred
1113	BGEM-0175-S	HN	sb1	BK1	Inbred
1114	MO17	HN	sb1	BK1	Inbred
1115	BGEM-0233-S	HN	sb1	BK1	Inbred
1116	BGEM-0124-N	HN	sb1	BK1	Inbred
1117	BGEM-0223-N	HN	sb1	BK1	Inbred
1118	BGEM-0061-N	HN	sb1	BK1	Inbred
1119	BGEM-0087-N	HN	sb1	BK1	Inbred
1120	BGEM-0238-N	HN	sb1	BK1	Inbred
1121	BGEM-0257-S	HN	sb1	BK1	Inbred
1122	B73	HN	sb1	BK1	Inbred
1123	BGEM-0240-N	HN	sb1	BK1	Inbred
1124	BGEM-0168-S	HN	sb1	BK1	Inbred
1125	BGEM-0033-S	HN	sb1	BK1	Inbred
1126	BGEM-0154-S	HN	sb3	BK1	Inbred
1127	BGEM-0180-S	HN	sb3	BK1	Inbred
1128	BGEM-0137-S	HN	sb3	BK1	Inbred
1129	BGEM-0030-S	HN	sb3	BK1	Inbred
1130	BGEM-0327-N	HN	sb3	BK1	Inbred
1131	MO17	HN	sb3	BK1	Inbred
1132	BGEM-0111-S	HN	sb3	BK1	Inbred
1133	BGEM-0050-S	HN	sb3	BK1	Inbred
1134	BGEM-0040-N	HN	sb3	BK1	Inbred
1135	BGEM-0129-N	HN	sb3	BK1	Inbred
1136	BGEM-0219-S	HN	sb3	BK1	Inbred
1137	BGEM-0066-N	HN	sb3	BK1	Inbred
1138	BGEM-0253-N	HN	sb3	BK1	Inbred
1139	B73	HN	sb3	BK1	Inbred
1140	BGEM-0094-S	HN	sb3	BK1	Inbred
1141	BGEM-0286-N	HN	sb3	BK1	Inbred
1142	BGEM-0055-S	HN	sb3	BK1	Inbred
1143	BGEM-0276-S	HN	sb3	BK1	Inbred
1144	BGEM-0310-S	HN	sb3	BK1	Inbred
1145	BGEM-0167-S	HN	sb3	BK1	Inbred
1146	BGEM-0227-N	HN	sb3	BK1	Inbred
1147	MO17	HN	sb3	BK1	Inbred
1148	BGEM-0095-S	HN	sb3	BK1	Inbred
1149	BGEM-0229-N	HN	sb3	BK1	Inbred
1150	BGEM-0319-S	HN	sb3	BK1	Inbred
1151	BGEM-0284-N	HN	sb1	BK1	Inbred
1152	BGEM-0121-N	HN	sb1	BK1	Inbred
